strategy,N,score,nbEval,nbSolutionCourante
ilsbest,4,0.0,200000,763
ilsbest,4,0.0,200000,761
ilsbest,4,0.0,200000,777
ilsbest,4,0.0,200000,776
ilsbest,4,0.0,200000,786
ilsbest,4,0.0,200000,767
ilsbest,4,0.0,200000,751
ilsbest,4,0.0,200000,800
ilsbest,4,0.0,200000,763
ilsbest,4,0.0,200000,780
ilsbest,5,0.0,200000,283
ilsbest,5,0.0,200000,289
ilsbest,5,0.0,200000,287
ilsbest,5,0.0,200000,275
ilsbest,5,0.0,200000,279
ilsbest,5,0.0,200000,283
ilsbest,5,0.0,200000,289
ilsbest,5,0.0,200000,285
ilsbest,5,0.0,200000,276
ilsbest,5,0.0,200000,280
ilsbest,6,0.0,200000,114
ilsbest,6,0.0,200000,113
ilsbest,6,0.0,200000,121
ilsbest,6,0.0,200000,113
ilsbest,6,0.0,200000,112
ilsbest,6,0.0,200000,114
ilsbest,6,0.0,200000,117
ilsbest,6,0.0,200000,114
ilsbest,6,0.0,200000,117
ilsbest,6,0.0,200000,118
ilsbest,10,0.0,200000,10
ilsbest,10,0.0,200000,10
ilsbest,10,0.05,200000,10
ilsbest,10,0.05,200000,11
ilsbest,10,0.05,200000,12
ilsbest,10,0.05,200000,10
ilsbest,10,0.0,200000,9
ilsbest,10,0.0,200000,9
ilsbest,10,0.05,200000,9
ilsbest,10,0.05,200000,11
ilsbest,12,0.0833,200000,4
ilsbest,12,0.0417,200000,5
ilsbest,12,0.0417,200000,5
ilsbest,12,0.0833,200000,5
ilsbest,12,0.0,200000,4
ilsbest,12,0.0,200000,4
ilsbest,12,0.125,200000,5
ilsbest,12,0.0417,200000,5
ilsbest,12,0.0417,200000,4
ilsbest,12,0.0417,200000,5
ilsbest,13,0.0769,200000,3
ilsbest,13,0.0,200000,2
ilsbest,13,0.0385,200000,3
ilsbest,13,0.0385,200000,3
ilsbest,13,0.0385,200000,3
ilsbest,13,0.0769,200000,3
ilsbest,13,0.0769,200000,3
ilsbest,13,0.1154,200000,3
ilsbest,13,0.0385,200000,3
ilsbest,13,0.0385,200000,3
ilsbest,14,0.0357,200000,1
ilsbest,14,0.0714,200000,1
ilsbest,14,0.1071,200000,2
ilsbest,14,0.0357,200000,1
ilsbest,14,0.1071,200000,2
ilsbest,14,0.0357,200000,1
ilsbest,14,0.1071,200000,2
ilsbest,14,0.0714,200000,1
ilsbest,14,0.1429,200000,2
ilsbest,14,0.0357,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
ilsbest,20,0.5,200000,1
